"e"," ","","15","55957","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"56437","main.py","1.1.2 for 2021-2022 @t1","0"
"e","",". ","14","56437","main.py","1.1.2 for 2021-2022 @t1","0"
"e","<","","14","57219","main.py","1.1.2 for 2021-2022 @t1","0"
"k","<",,"15","57233","main.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","15","57936","main.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"16","57953","main.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","16","58039","main.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"17","58053","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"58927","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","0","16","58927","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"59097","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","1","15","59099","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","15","59274","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"16","59290","main.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","16","59450","main.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"17","59611","main.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","17","59629","main.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"18","59642","main.py","1.1.2 for 2021-2022 @t1","0"
"e",":","","18","60525","main.py","1.1.2 for 2021-2022 @t1","0"
"k",":",,"19","60535","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"60759","main.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","19","60759","main.py","1.1.2 for 2021-2022 @t1","0"
"e","    ","","20","60775","main.py","1.1.2 for 2021-2022 @t1","0"
"e","w","","24","64106","main.py","1.1.2 for 2021-2022 @t1","0"
"k","w",,"25","64116","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","25","64147","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","25","64178","main.py","1.1.2 for 2021-2022 @t1","0"
"e","h","","25","64179","main.py","1.1.2 for 2021-2022 @t1","0"
"k","h",,"26","64178","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","26","64194","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","26","64279","main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","26","64280","main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"27","64291","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","27","64293","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"64632","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","i ","26","64648","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","26","64679","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"64748","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","h ","25","64748","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","25","64779","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"64879","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","w ","24","64879","main.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","24","65935","main.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"25","65956","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","25","65972","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","25","66066","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","25","66067","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"26","66082","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","26","66082","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","26","66166","main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","26","66167","main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"27","66182","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","27","66213","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","27","66251","main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","27","66252","main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"28","66267","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","28","66298","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","28","66405","main.py","1.1.2 for 2021-2022 @t1","0"
"e","g","","28","66406","main.py","1.1.2 for 2021-2022 @t1","0"
"k","g",,"29","66443","main.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","29","66615","main.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"30","66633","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"66793","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","29","66793","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"66924","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","g","28","66924","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"67056","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","27","67056","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"67194","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","i","26","67194","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"67325","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","25","67325","main.py","1.1.2 for 2021-2022 @t1","0"
